metric,percentile,value_us
ttft_from_intended,50,11751
ttft_from_intended,75,12751
ttft_from_intended,90,13919
ttft_from_intended,95,14527
ttft_from_intended,99,16511
ttft_from_intended,99.9,36703
ttft_from_intended,99.99,44063
ttft_from_dispatch,50,10559
ttft_from_dispatch,75,11247
ttft_from_dispatch,90,12055
ttft_from_dispatch,95,12567
ttft_from_dispatch,99,14071
ttft_from_dispatch,99.9,24159
ttft_from_dispatch,99.99,34751
e2e_from_intended,50,20783
e2e_from_intended,75,21855
e2e_from_intended,90,22975
e2e_from_intended,95,23855
e2e_from_intended,99,26079
e2e_from_intended,99.9,45151
e2e_from_intended,99.99,53631
e2e_from_dispatch,50,19487
e2e_from_dispatch,75,20399
e2e_from_dispatch,90,21343
e2e_from_dispatch,95,21951
e2e_from_dispatch,99,23791
e2e_from_dispatch,99.9,38079
e2e_from_dispatch,99.99,43199
dispatch_lag,50,1281
dispatch_lag,75,1737
dispatch_lag,90,2155
dispatch_lag,95,2415
dispatch_lag,99,2845
dispatch_lag,99.9,13055
dispatch_lag,99.99,34591
