metric,percentile,value_us
ttft_from_intended,50,13911
ttft_from_intended,75,14367
ttft_from_intended,90,14559
ttft_from_intended,95,14775
ttft_from_intended,99,16687
ttft_from_intended,99.9,20767
ttft_from_intended,99.99,20799
ttft_from_dispatch,50,13911
ttft_from_dispatch,75,14367
ttft_from_dispatch,90,14559
ttft_from_dispatch,95,14775
ttft_from_dispatch,99,16687
ttft_from_dispatch,99.9,20767
ttft_from_dispatch,99.99,20799
e2e_from_intended,50,43167
e2e_from_intended,75,44159
e2e_from_intended,90,44927
e2e_from_intended,95,45567
e2e_from_intended,99,47103
e2e_from_intended,99.9,56127
e2e_from_intended,99.99,56319
e2e_from_dispatch,50,43167
e2e_from_dispatch,75,44159
e2e_from_dispatch,90,44927
e2e_from_dispatch,95,45567
e2e_from_dispatch,99,47103
e2e_from_dispatch,99.9,56127
e2e_from_dispatch,99.99,56319
dispatch_lag,50,1
dispatch_lag,75,1
dispatch_lag,90,1
dispatch_lag,95,1
dispatch_lag,99,1
dispatch_lag,99.9,1
dispatch_lag,99.99,1
