metric,percentile,value_us
ttft_from_intended,50,3383
ttft_from_intended,75,3961
ttft_from_intended,90,4591
ttft_from_intended,95,5015
ttft_from_intended,99,6519
ttft_from_intended,99.9,12503
ttft_from_intended,99.99,12951
ttft_from_dispatch,50,1641
ttft_from_dispatch,75,1806
ttft_from_dispatch,90,1978
ttft_from_dispatch,95,2151
ttft_from_dispatch,99,3115
ttft_from_dispatch,99.9,8647
ttft_from_dispatch,99.99,11111
e2e_from_intended,50,4535
e2e_from_intended,75,5179
e2e_from_intended,90,5875
e2e_from_intended,95,6471
e2e_from_intended,99,8375
e2e_from_intended,99.9,14175
e2e_from_intended,99.99,21071
e2e_from_dispatch,50,2863
e2e_from_dispatch,75,3091
e2e_from_dispatch,90,3319
e2e_from_dispatch,95,3521
e2e_from_dispatch,99,5163
e2e_from_dispatch,99.9,12335
e2e_from_dispatch,99.99,15655
dispatch_lag,50,1821
dispatch_lag,75,2381
dispatch_lag,90,2925
dispatch_lag,95,3285
dispatch_lag,99,4203
dispatch_lag,99.9,16719
dispatch_lag,99.99,21103
