metric,percentile,value_us
ttft_from_intended,50,14007
ttft_from_intended,75,14319
ttft_from_intended,90,14551
ttft_from_intended,95,14759
ttft_from_intended,99,16191
ttft_from_intended,99.9,19343
ttft_from_intended,99.99,19551
ttft_from_dispatch,50,14007
ttft_from_dispatch,75,14319
ttft_from_dispatch,90,14551
ttft_from_dispatch,95,14759
ttft_from_dispatch,99,16191
ttft_from_dispatch,99.9,19343
ttft_from_dispatch,99.99,19551
e2e_from_intended,50,43391
e2e_from_intended,75,44319
e2e_from_intended,90,45151
e2e_from_intended,95,45663
e2e_from_intended,99,47679
e2e_from_intended,99.9,49727
e2e_from_intended,99.99,49887
e2e_from_dispatch,50,43391
e2e_from_dispatch,75,44319
e2e_from_dispatch,90,45151
e2e_from_dispatch,95,45663
e2e_from_dispatch,99,47679
e2e_from_dispatch,99.9,49727
e2e_from_dispatch,99.99,49887
dispatch_lag,50,1
dispatch_lag,75,1
dispatch_lag,90,1
dispatch_lag,95,1
dispatch_lag,99,1
dispatch_lag,99.9,1
dispatch_lag,99.99,1
