metric,percentile,value_us
ttft_from_intended,50,3653
ttft_from_intended,75,4243
ttft_from_intended,90,4687
ttft_from_intended,95,4955
ttft_from_intended,99,5759
ttft_from_intended,99.9,10423
ttft_from_intended,99.99,10663
ttft_from_dispatch,50,1982
ttft_from_dispatch,75,2221
ttft_from_dispatch,90,2525
ttft_from_dispatch,95,2803
ttft_from_dispatch,99,3839
ttft_from_dispatch,99.9,6899
ttft_from_dispatch,99.99,8567
e2e_from_intended,50,4875
e2e_from_intended,75,5511
e2e_from_intended,90,6027
e2e_from_intended,95,6419
e2e_from_intended,99,7599
e2e_from_intended,99.9,10815
e2e_from_intended,99.99,11903
e2e_from_dispatch,50,3263
e2e_from_dispatch,75,3591
e2e_from_dispatch,90,3941
e2e_from_dispatch,95,4283
e2e_from_dispatch,99,5919
e2e_from_dispatch,99.9,9575
e2e_from_dispatch,99.99,9911
dispatch_lag,50,1653
dispatch_lag,75,2095
dispatch_lag,90,2459
dispatch_lag,95,2625
dispatch_lag,99,2841
dispatch_lag,99.9,3883
dispatch_lag,99.99,4093
