metric,percentile,value_us
ttft_from_intended,50,4019
ttft_from_intended,75,4823
ttft_from_intended,90,5531
ttft_from_intended,95,5979
ttft_from_intended,99,9367
ttft_from_intended,99.9,19743
ttft_from_intended,99.99,22943
ttft_from_dispatch,50,2101
ttft_from_dispatch,75,2355
ttft_from_dispatch,90,2711
ttft_from_dispatch,95,2987
ttft_from_dispatch,99,5455
ttft_from_dispatch,99.9,10759
ttft_from_dispatch,99.99,13423
e2e_from_intended,50,5319
e2e_from_intended,75,6163
e2e_from_intended,90,6951
e2e_from_intended,95,7479
e2e_from_intended,99,12095
e2e_from_intended,99.9,19999
e2e_from_intended,99.99,25743
e2e_from_dispatch,50,3445
e2e_from_dispatch,75,3791
e2e_from_dispatch,90,4207
e2e_from_dispatch,95,4603
e2e_from_dispatch,99,8823
e2e_from_dispatch,99.9,15423
e2e_from_dispatch,99.99,16231
dispatch_lag,50,1869
dispatch_lag,75,2497
dispatch_lag,90,3065
dispatch_lag,95,3403
dispatch_lag,99,4307
dispatch_lag,99.9,9519
dispatch_lag,99.99,10439
