metric,percentile,value_us
ttft_from_intended,50,14095
ttft_from_intended,75,16183
ttft_from_intended,90,28895
ttft_from_intended,95,41151
ttft_from_intended,99,47039
ttft_from_intended,99.9,55519
ttft_from_intended,99.99,57823
ttft_from_dispatch,50,12623
ttft_from_dispatch,75,14471
ttft_from_dispatch,90,27183
ttft_from_dispatch,95,40223
ttft_from_dispatch,99,45759
ttft_from_dispatch,99.9,51647
ttft_from_dispatch,99.99,52223
e2e_from_intended,50,23327
e2e_from_intended,75,25727
e2e_from_intended,90,39327
e2e_from_intended,95,50015
e2e_from_intended,99,56927
e2e_from_intended,99.9,66879
e2e_from_intended,99.99,69119
e2e_from_dispatch,50,21903
e2e_from_dispatch,75,24015
e2e_from_dispatch,90,37279
e2e_from_dispatch,95,49183
e2e_from_dispatch,99,54815
e2e_from_dispatch,99.9,62175
e2e_from_dispatch,99.99,67263
dispatch_lag,50,1355
dispatch_lag,75,1814
dispatch_lag,90,2251
dispatch_lag,95,2519
dispatch_lag,99,5339
dispatch_lag,99.9,16335
dispatch_lag,99.99,26591
