metric,percentile,value_us
ttft_from_intended,50,13591
ttft_from_intended,75,15959
ttft_from_intended,90,28095
ttft_from_intended,95,41983
ttft_from_intended,99,78463
ttft_from_intended,99.9,214655
ttft_from_intended,99.99,254079
ttft_from_dispatch,50,12159
ttft_from_dispatch,75,14135
ttft_from_dispatch,90,26383
ttft_from_dispatch,95,40863
ttft_from_dispatch,99,76671
ttft_from_dispatch,99.9,213503
ttft_from_dispatch,99.99,252159
e2e_from_intended,50,23279
e2e_from_intended,75,26191
e2e_from_intended,90,39327
e2e_from_intended,95,52095
e2e_from_intended,99,91967
e2e_from_intended,99.9,220799
e2e_from_intended,99.99,264447
e2e_from_dispatch,50,21775
e2e_from_dispatch,75,24191
e2e_from_dispatch,90,37599
e2e_from_dispatch,95,50847
e2e_from_dispatch,99,91263
e2e_from_dispatch,99.9,219647
e2e_from_dispatch,99.99,262399
dispatch_lag,50,1374
dispatch_lag,75,1830
dispatch_lag,90,2375
dispatch_lag,95,2781
dispatch_lag,99,6619
dispatch_lag,99.9,13863
dispatch_lag,99.99,17455
