metric,percentile,value_us
ttft_from_intended,50,12167
ttft_from_intended,75,13407
ttft_from_intended,90,24655
ttft_from_intended,95,38751
ttft_from_intended,99,44255
ttft_from_intended,99.9,46527
ttft_from_intended,99.99,46559
ttft_from_dispatch,50,10815
ttft_from_dispatch,75,11823
ttft_from_dispatch,90,23087
ttft_from_dispatch,95,36671
ttft_from_dispatch,99,42239
ttft_from_dispatch,99.9,45119
ttft_from_dispatch,99.99,45215
e2e_from_intended,50,21247
e2e_from_intended,75,22751
e2e_from_intended,90,34175
e2e_from_intended,95,47583
e2e_from_intended,99,53215
e2e_from_intended,99.9,55551
e2e_from_intended,99.99,56095
e2e_from_dispatch,50,19855
e2e_from_dispatch,75,21071
e2e_from_dispatch,90,32495
e2e_from_dispatch,95,45727
e2e_from_dispatch,99,51519
e2e_from_dispatch,99.9,53599
e2e_from_dispatch,99.99,54783
dispatch_lag,50,1292
dispatch_lag,75,1749
dispatch_lag,90,2147
dispatch_lag,95,2417
dispatch_lag,99,3835
dispatch_lag,99.9,13247
dispatch_lag,99.99,18047
