metric,percentile,value_us
ttft_from_intended,50,41055
ttft_from_intended,75,42399
ttft_from_intended,90,43615
ttft_from_intended,95,44735
ttft_from_intended,99,49631
ttft_from_intended,99.9,82367
ttft_from_intended,99.99,96319
ttft_from_dispatch,50,39935
ttft_from_dispatch,75,40959
ttft_from_dispatch,90,41855
ttft_from_dispatch,95,42655
ttft_from_dispatch,99,47327
ttft_from_dispatch,99.9,77375
ttft_from_dispatch,99.99,94271
e2e_from_intended,50,49983
e2e_from_intended,75,51743
e2e_from_intended,90,53215
e2e_from_intended,95,54559
e2e_from_intended,99,61855
e2e_from_intended,99.9,91519
e2e_from_intended,99.99,106047
e2e_from_dispatch,50,48671
e2e_from_dispatch,75,50303
e2e_from_dispatch,90,51455
e2e_from_dispatch,95,52479
e2e_from_dispatch,99,60351
e2e_from_dispatch,99.9,85823
e2e_from_dispatch,99.99,103999
dispatch_lag,50,1389
dispatch_lag,75,1828
dispatch_lag,90,2263
dispatch_lag,95,2627
dispatch_lag,99,7399
dispatch_lag,99.9,19839
dispatch_lag,99.99,26639
