metric,percentile,value_us
ttft_from_intended,50,5523
ttft_from_intended,75,6343
ttft_from_intended,90,7051
ttft_from_intended,95,7555
ttft_from_intended,99,8855
ttft_from_intended,99.9,10975
ttft_from_intended,99.99,12503
ttft_from_dispatch,50,3935
ttft_from_dispatch,75,4527
ttft_from_dispatch,90,5179
ttft_from_dispatch,95,5523
ttft_from_dispatch,99,6583
ttft_from_dispatch,99.9,9023
ttft_from_dispatch,99.99,9903
e2e_from_intended,50,6755
e2e_from_intended,75,7587
e2e_from_intended,90,8327
e2e_from_intended,95,8879
e2e_from_intended,99,10511
e2e_from_intended,99.9,13335
e2e_from_intended,99.99,18111
e2e_from_dispatch,50,5175
e2e_from_dispatch,75,5787
e2e_from_dispatch,90,6515
e2e_from_dispatch,95,6831
e2e_from_dispatch,99,8147
e2e_from_dispatch,99.9,12511
e2e_from_dispatch,99.99,16151
dispatch_lag,50,1589
dispatch_lag,75,2007
dispatch_lag,90,2331
dispatch_lag,95,2509
dispatch_lag,99,2839
dispatch_lag,99.9,4683
dispatch_lag,99.99,5567
