metric,percentile,value_us
ttft_from_intended,50,5747
ttft_from_intended,75,6763
ttft_from_intended,90,8095
ttft_from_intended,95,9479
ttft_from_intended,99,18879
ttft_from_intended,99.9,85311
ttft_from_intended,99.99,92991
ttft_from_dispatch,50,4053
ttft_from_dispatch,75,4911
ttft_from_dispatch,90,6095
ttft_from_dispatch,95,7227
ttft_from_dispatch,99,16151
ttft_from_dispatch,99.9,76543
ttft_from_dispatch,99.99,91199
e2e_from_intended,50,6991
e2e_from_intended,75,8091
e2e_from_intended,90,9503
e2e_from_intended,95,10823
e2e_from_intended,99,20271
e2e_from_intended,99.9,87615
e2e_from_intended,99.99,93247
e2e_from_dispatch,50,5311
e2e_from_dispatch,75,6235
e2e_from_dispatch,90,7547
e2e_from_dispatch,95,8591
e2e_from_dispatch,99,16959
e2e_from_dispatch,99.9,78911
e2e_from_dispatch,99.99,91455
dispatch_lag,50,1673
dispatch_lag,75,2119
dispatch_lag,90,2455
dispatch_lag,95,2661
dispatch_lag,99,5103
dispatch_lag,99.9,35647
dispatch_lag,99.99,38847
