metric,percentile,value_us
ttft_from_intended,50,5555
ttft_from_intended,75,6311
ttft_from_intended,90,7207
ttft_from_intended,95,7747
ttft_from_intended,99,9303
ttft_from_intended,99.9,16071
ttft_from_intended,99.99,18111
ttft_from_dispatch,50,3919
ttft_from_dispatch,75,4443
ttft_from_dispatch,90,5203
ttft_from_dispatch,95,5739
ttft_from_dispatch,99,7311
ttft_from_dispatch,99.9,11447
ttft_from_dispatch,99.99,13519
e2e_from_intended,50,6735
e2e_from_intended,75,7551
e2e_from_intended,90,8463
e2e_from_intended,95,9103
e2e_from_intended,99,10887
e2e_from_intended,99.9,18447
e2e_from_intended,99.99,19487
e2e_from_dispatch,50,5155
e2e_from_dispatch,75,5723
e2e_from_dispatch,90,6459
e2e_from_dispatch,95,7031
e2e_from_dispatch,99,8855
e2e_from_dispatch,99.9,14887
e2e_from_dispatch,99.99,17103
dispatch_lag,50,1635
dispatch_lag,75,2067
dispatch_lag,90,2429
dispatch_lag,95,2603
dispatch_lag,99,2939
dispatch_lag,99.9,6175
dispatch_lag,99.99,7183
