metric,percentile,value_us
ttft_from_intended,50,1163263
ttft_from_intended,75,1836031
ttft_from_intended,90,2144255
ttft_from_intended,95,2355199
ttft_from_intended,99,2514943
ttft_from_intended,99.9,2603007
ttft_from_intended,99.99,2605055
ttft_from_dispatch,50,1161215
ttft_from_dispatch,75,1833983
ttft_from_dispatch,90,2144255
ttft_from_dispatch,95,2353151
ttft_from_dispatch,99,2514943
ttft_from_dispatch,99.9,2600959
ttft_from_dispatch,99.99,2603007
e2e_from_intended,50,1240063
e2e_from_intended,75,1912831
e2e_from_intended,90,2222079
e2e_from_intended,95,2433023
e2e_from_intended,99,2590719
e2e_from_intended,99.9,2678783
e2e_from_intended,99.99,2680831
e2e_from_dispatch,50,1239039
e2e_from_dispatch,75,1912831
e2e_from_dispatch,90,2220031
e2e_from_dispatch,95,2433023
e2e_from_dispatch,99,2588671
e2e_from_dispatch,99.9,2678783
e2e_from_dispatch,99.99,2678783
dispatch_lag,50,1349
dispatch_lag,75,1747
dispatch_lag,90,2305
dispatch_lag,95,3205
dispatch_lag,99,11791
dispatch_lag,99.9,36319
dispatch_lag,99.99,43967
