metric,percentile,value_us
ttft_from_intended,50,12711
ttft_from_intended,75,13823
ttft_from_intended,90,15079
ttft_from_intended,95,15975
ttft_from_intended,99,18431
ttft_from_intended,99.9,35455
ttft_from_intended,99.99,38815
ttft_from_dispatch,50,11111
ttft_from_dispatch,75,12015
ttft_from_dispatch,90,12735
ttft_from_dispatch,95,13239
ttft_from_dispatch,99,14815
ttft_from_dispatch,99.9,33951
ttft_from_dispatch,99.99,35135
e2e_from_intended,50,22415
e2e_from_intended,75,23823
e2e_from_intended,90,25103
e2e_from_intended,95,26191
e2e_from_intended,99,29199
e2e_from_intended,99.9,44511
e2e_from_intended,99.99,48223
e2e_from_dispatch,50,20879
e2e_from_dispatch,75,21967
e2e_from_dispatch,90,22959
e2e_from_dispatch,95,23695
e2e_from_dispatch,99,25439
e2e_from_dispatch,99.9,43039
e2e_from_dispatch,99.99,44575
dispatch_lag,50,1490
dispatch_lag,75,2109
dispatch_lag,90,2913
dispatch_lag,95,3289
dispatch_lag,99,3799
dispatch_lag,99.9,17407
dispatch_lag,99.99,20783
